Albany NY, USA,                        3.1,  3.7,  3.5,  3.1,  2.7,  2.6,  2.8,  3.0,  3.3,  3.2,  2.4,  2.4
Albuquerque NM, USA,                   5.2,  5.1,  4.5,  3.7,  2.8,  2.4,  2.5,  3.2,  4.2,  5.1,  5.2,  5.1
Alpena MI, USA,                        2.9,  3.8,  4.2,  3.4,  3.0,  2.8,  2.9,  3.1,  3.2,  2.9,  2.1,  2.1
Amarillo TX, USA,                      4.8,  4.7,  4.2,  3.4,  2.6,  2.2,  2.4,  2.9,  3.7,  4.7,  4.7,  4.6
Anchorage AK, USA,                     1.0,  2.3,  3.7,  3.8,  3.3,  3.2,  3.1,  2.9,  2.6,  1.9,  1.3,  0.6
Asheville NC, USA,                     3.8,  3.9,  3.6,  3.0,  2.4,  2.1,  2.2,  2.6,  3.1,  3.9,  3.7,  3.5
Atlanta GA, USA,                       3.5,  3.7,  3.5,  3.0,  2.4,  2.2,  2.2,  2.7,  3.2,  4.0,  3.8,  3.5
Atlantic City NJ, USA,                 3.4,  3.7,  3.5,  3.0,  2.6,  2.4,  2.5,  2.9,  3.4,  3.7,  3.3,  3.1
Austin TX, USA,                        3.8,  3.8,  3.4,  2.7,  2.1,  1.9,  2.0,  2.6,  3.3,  4.0,  4.0,  3.8
Baltimore MD, USA,                     3.4,  3.7,  3.5,  3.0,  2.6,  2.4,  2.5,  2.9,  3.3,  3.7,  3.3,  3.0
Baton Rouge LA, USA,                   3.2,  3.4,  3.2,  2.7,  2.1,  1.9,  1.9,  2.4,  3.0,  3.9,  3.6,  3.3
Billings MT, USA,                      3.4,  4.0,  4.2,  3.6,  3.1,  3.0,  3.3,  3.8,  4.2,  4.2,  3.5,  3.3
Binghamton NY, USA,                    2.8,  3.3,  3.4,  2.9,  2.6,  2.5,  2.6,  2.9,  3.1,  3.0,  2.2,  2.1
Bismarck ND, USA,                      3.7,  4.2,  4.3,  3.7,  3.3,  3.1,  3.4,  3.7,  3.9,  3.9,  3.2,  3.1
Boise ID, USA,                         2.7,  3.4,  3.7,  3.6,  3.2,  3.0,  3.3,  3.8,  4.6,  4.5,  3.0,  2.6
Boston MA, USA,                        3.4,  3.9,  3.7,  3.1,  2.8,  2.6,  2.8,  3.1,  3.5,  3.6,  3.0,  2.9
Brownsville TX, USA,                   3.0,  3.2,  3.0,  2.3,  1.8,  1.6,  1.7,  2.1,  2.9,  3.7,  3.6,  3.1
Buffalo NY, USA,                       2.4,  3.0,  3.3,  3.0,  2.7,  2.6,  2.8,  3.0,  3.2,  3.0,  2.0,  1.9
Burlington VT, USA,                    3.0,  3.8,  3.9,  3.2,  2.9,  2.7,  2.9,  3.2,  3.4,  3.1,  2.2,  2.2
Cape Hatteras NC, USA,                 3.6,  3.7,  3.6,  3.1,  2.5,  2.2,  2.3,  2.7,  3.3,  3.8,  3.9,  3.6
Charleston SC, USA,                    3.7,  3.9,  3.6,  3.1,  2.4,  2.1,  2.2,  2.5,  3.1,  3.9,  4.0,  3.8
Charleston WV, USA,                    3.5,  3.7,  3.5,  3.1,  2.6,  2.4,  2.4,  2.8,  3.3,  3.7,  3.6,  3.3
Charlotte NC, USA,                     3.6,  3.8,  3.6,  3.1,  2.5,  2.2,  2.3,  2.7,  3.3,  4.0,  3.8,  3.5
Chattanooga TN, USA,                   3.2,  3.4,  3.2,  2.9,  2.4,  2.2,  2.2,  2.7,  3.1,  3.8,  3.4,  3.0
Cheyenne WY, USA,                      4.2,  4.5,  4.3,  3.6,  2.8,  2.6,  2.8,  3.3,  4.1,  4.6,  4.2,  4.1
Chicago IL, USA,                       3.1,  3.5,  3.2,  3.0,  2.8,  2.6,  2.7,  3.1,  3.4,  3.4,  2.5,  2.4
Cleveland OH, USA,                     2.3,  2.9,  3.0,  3.0,  2.7,  2.6,  2.7,  3.0,  3.2,  3.1,  2.1,  1.8
Colorado Springs CO, USA,              4.7,  4.6,  4.2,  3.5,  2.7,  2.5,  2.6,  3.2,  4.0,  4.8,  4.6,  4.6
Columbia MO, USA,                      3.7,  3.9,  3.5,  3.2,  2.7,  2.5,  2.7,  3.1,  3.5,  3.9,  3.3,  3.2
