Name                              Brand            CellType            Efficiency  Length   NominalLength  Width     NominalWidth  Thickness  m    n    Pmax    Vmpp   Impp   Voc    Isc    PmaxTC    NOCT   Weight  Color   Shade Tolerance   Bifacial
ASP-400M,                         ASP,             Monocrystalline,    0.156,      1.96,    1.96,          1.308,    1.31,         0.04,      12,  8,   400,    49.8,  8.04,  60,    8.56,  -0.0049,  47,    35.5,   Black,  Partial,          0
CS3W-430MS,                       Canadian Solar,  Monocrystalline,    0.195,      2.108,   2.11,          1.048,    1.05,         0.04,      12,  6,   430,    40.3,  10.68, 48.3,  11.37, -0.0035,  42,    24.9,   Black,  Partial,          0
CS3W-435MS,                       Canadian Solar,  Monocrystalline,    0.197,      2.108,   2.11,          1.048,    1.05,         0.04,      12,  6,   435,    40.5,  10.75, 48.5,  11.42, -0.0035,  42,    24.9,   Black,  Partial,          0
CS3W-440MS,                       Canadian Solar,  Monocrystalline,    0.199,      2.108,   2.11,          1.048,    1.05,         0.04,      12,  6,   440,    40.7,  10.82, 48.7,  11.48, -0.0035,  42,    24.9,   Black,  Partial,          0
CS3W-445MS,                       Canadian Solar,  Monocrystalline,    0.201,      2.108,   2.11,          1.048,    1.05,         0.04,      12,  6,   445,    40.9,  10.89, 48.9,  11.54, -0.0035,  42,    24.9,   Black,  Partial,          0
CS3W-450MS,                       Canadian Solar,  Monocrystalline,    0.204,      2.108,   2.11,          1.048,    1.05,         0.04,      12,  6,   450,    41.1,  10.96, 49.1,  11.60, -0.0035,  42,    24.9,   Black,  Partial,          0
CS3W-455MS,                       Canadian Solar,  Monocrystalline,    0.206,      2.108,   2.11,          1.048,    1.05,         0.04,      12,  6,   455,    41.3,  11.02, 49.3,  11.66, -0.0035,  42,    24.9,   Black,  Partial,          0
CS3W-420MB-AG,                    Canadian Solar,  Monocrystalline,    0.188,      2.132,   2.13,          1.048,    1.05,         0.03,      12,  6,   420,    39.9,  10.53, 47.9,  11.27, -0.0035,  41,    28.4,   Black,  Partial,          0.7
CS3W-425MB-AG,                    Canadian Solar,  Monocrystalline,    0.190,      2.132,   2.13,          1.048,    1.05,         0.03,      12,  6,   425,    40.1,  10.60, 48.1,  11.32, -0.0035,  41,    28.4,   Black,  Partial,          0.7
CS3W-430MB-AG,                    Canadian Solar,  Monocrystalline,    0.192,      2.132,   2.13,          1.048,    1.05,         0.03,      12,  6,   430,    40.3,  10.68, 48.3,  11.37, -0.0035,  41,    28.4,   Black,  Partial,          0.7
CS3W-435MB-AG,                    Canadian Solar,  Monocrystalline,    0.195,      2.132,   2.13,          1.048,    1.05,         0.03,      12,  6,   435,    40.5,  10.75, 48.5,  11.42, -0.0035,  41,    28.4,   Black,  Partial,          0.7
CS3W-440MB-AG,                    Canadian Solar,  Monocrystalline,    0.197,      2.132,   2.13,          1.048,    1.05,         0.03,      12,  6,   440,    40.7,  10.82, 48.7,  11.48, -0.0035,  41,    28.4,   Black,  Partial,          0.7
CS3W-445MB-AG,                    Canadian Solar,  Monocrystalline,    0.199,      2.132,   2.13,          1.048,    1.05,         0.03,      12,  6,   445,    40.9,  10.89, 48.9,  11.54, -0.0035,  41,    28.4,   Black,  Partial,          0.7
CS6X-330M-FG,                     Canadian Solar,  Monocrystalline,    0.168,      1.972,   1.96,          0.996,    0.99,         0.006,     12,  6,   330,    37.5,  8.8,   45.9,  9.31,  -0.0041,  45,    27.5,   Black,  Partial,          0
CS6X-330P-FG,                     Canadian Solar,  Polycrystalline,    0.168,      1.972,   1.96,          0.996,    0.99,         0.006,     12,  6,   330,    37.2,  8.88,  45.6,  9.45,  -0.0041,  45,    27.5,   Blue,   Partial,          0
CS6X-350P-FG,                     Canadian Solar,  Polycrystalline,    0.1793,     1.968,   1.96,          0.992,    0.99,         0.006,     12,  6,   350,    37.6,  9.05,  45.9,  9.62,  -0.0039,  43,    27.5,   Blue,   Partial,          0
