Anchorage AK, USA,                     0.3,  1.0,  2.3,  3.6,  4.6,  4.9,  4.6,  3.5,  2.2,  1.1,  0.4,  0.2
Boston MA, USA,                        1.9,  2.7,  3.7,  4.7,  5.6,  6.1,  6.1,  5.4,  4.3,  3.0,  1.9,  1.5
Cheyenne WY, USA,                      2.2,  3.1,  4.2,  5.3,  6.0,  6.7,  6.7,  5.9,  4.9,  3.6,  2.4,  1.9
Honolulu HI, USA,                      3.9,  4.7,  5.4,  5.9,  6.4,  6.5,  6.6,  6.5,  5.9,  5.0,  4.1,  3.7
Houston TX, USA,                       2.7,  3.4,  4.2,  5.0,  5.6,  6.0,  5.9,  5.6,  4.9,  4.2,  3.1,  2.5
Miami FL, USA,                         3.5,  4.2,  5.2,  6.0,  6.0,  5.6,  5.8,  5.6,  4.9,  4.4,  3.7,  3.3
Phoenix AZ, USA,                       3.2,  4.3,  5.5,  7.1,  8.0,  8.4,  7.6,  7.1,  6.1,  4.9,  3.6,  3.0
Salt Lake City UT, USA,                1.9,  2.9,  4.1,  5.4,  6.5,  7.4,  7.3,  6.5,  5.2,  3.7,  2.2,  1.7
San Francisco CA, USA,                 2.2,  3.0,  4.2,  5.7,  6.7,  7.2,  7.3,  6.5,  5.4,  3.9,  2.5,  2.0
Seattle WA, USA,                       1.0,  1.7,  2.8,  4.1,  5.3,  5.8,  6.1,  5.2,  3.8,  2.2,  1.2,  0.8
