Gibraltar, ,                          -5.35,  36.14,       20,   11.2, 16.3, 11.5, 16.7, 12.7, 18.3, 13.9, 20.0, 16.0, 22.6, 18.5, 25.6, 20.5, 28.1, 21.2, 28.4, 19.7, 25.9, 17.3, 22.5, 14.1, 19.1, 12.4, 17.0,  147,   143,   204,   233,   289,   319,   326,   309,   240,   197,   135,   134
Jerusalem, ,                          35.21,  31.77,      795,    6.4, 11.8,  6.4, 12.6,  8.4, 15.4, 12.6, 21.5, 15.7, 25.3, 17.8, 27.6, 19.4, 29.0, 19.5, 29.4, 18.6, 28.2, 16.6, 24.7, 12.3, 18.8,  8.4, 14.0,192.9, 243.6, 226.3, 266.6, 331.7, 381.0, 384.4, 365.8, 309.0, 275.9, 228.0, 192.2
Monaco,  ,                             7.42,  43.74,       26,    7.4, 13.0,  7.4, 13.0,  9.1, 14.9, 10.9, 16.7, 14.6, 20.4, 18.0, 23.7, 21.0, 26.6, 21.4, 26.9, 18.3, 24.0, 15.2, 20.6, 11.2, 16.5,  8.5, 13.9,149.8, 158.9, 185.5, 210.0, 248.1, 281.1, 329.3, 296.7, 224.7, 199.0, 155.2, 136.5
Singapore, ,                         103.82,   1.35,        5,   23.9, 30.4, 24.3, 31.7, 24.6, 32.0, 25.0, 32.3, 25.4, 32.2, 25.4, 32.0, 25.0, 31.3, 25.0, 31.4, 24.8, 31.4, 24.7, 31.7, 24.3, 31.1, 24.0, 30.2,172.4, 183.2, 192.7, 173.6, 179.8, 177.7, 187.9, 180.6, 156.2, 155.2, 129.6, 133.5
Vatican City, ,                       12.45,  41.90,       78,    3.1, 11.9,  3.5, 13.0,  5.2, 15.2,  7.5, 17.7, 11.6, 22.8, 15.3, 26.9, 18.0, 30.3, 18.3, 30.6, 15.2, 26.5, 11.3, 21.4,  6.9, 15.9,  4.2, 12.6,120.9, 132.8, 167.4, 201.0, 263.5, 285.0, 331.7, 297.6, 237.0, 195.3, 129.0, 111.6
Amundsen-Scott Station,  ,           139.27, -90.00,     2835,   -30,  -26,  -43,  -38,  -57,  -50,  -61,  -53,  -62,  -54,  -63,  -55,  -63,  -55,  -63,  -55,  -62,  -54,  -54,  -48,  -40,  -36,  -29,  -26,   406,   497,   195,     0,     0,     0,     0,     0,    34,   391,   558,   617
Saint Pierre and Miquelon,  ,        -56.32,  46.89,       45,   -4.9,  0.2, -5.5, -0.4, -3.5,  1.4, -0.5,  4.8,  2.8,  8.9,  6.8, 12.9, 11.6, 17.1, 14.2, 19.4, 11.3, 16.6,  6.9, 11.7,  2.5,  7.2, -1.5,  3.1, 42.3,  60.7, 113.0, 142.4, 174.9, 164.1, 150.7, 168.7, 159.5, 117.1,  61.7,  38.0
Kabul, Afghanistan,                   69.21,  34.56,     1791,    -7,    5,   -6,    6,    1,   13,    6,   19,    9,   24,   12,   30,   15,   32,   14,   32,    9,   29,    4,   22,   -1,   15,   -5,    8,   177,   179,   205,   233,   310,   353,   357,   340,   304,   283,   253,   182
Yerevan, Armenia,                     44.50,  40.18,      990,    -8,    1,   -4,    6,    1,   13,    7,   19,   11,   24,   15,   30,   19,   34,   19,   33,   13,   29,    8,   21,    1,   12,   -4,    5,    93,   108,   162,   177,   242,   297,   343,   332,   278,   212,   138,    92
Baku, Azerbaijan,                     49.87,  40.41,      -28,     2,    7,    2,    6,    4,   10,    9,   16,   15,   22,   20,   27,   22,   31,   23,   30,   19,   26,   14,   20,    9,   14,    5,   10,    90,    89,   124,   195,   257,   294,   313,   282,   222,   146,    93,   102
